time,date,hour,precip [mm/day],TRAPPING_CREEK_NEAR_THE_MOUTH [m3/s],TRAPPING_CREEK_NEAR_THE_MOUTH (observed) [m3/s]
205,1980-07-24,00:00:00.00,0,1.05063,0.837
206,1980-07-25,00:00:00.00,0,1.01931,0.824
207,1980-07-26,00:00:00.00,0,0.989144,0.772
208,1980-07-27,00:00:00.00,0,0.960093,0.71
209,1980-07-28,00:00:00.00,0,0.932105,0.646
210,1980-07-29,00:00:00.00,0,0.905133,0.592
211,1980-07-30,00:00:00.00,0,0.879133,0.534
212,1980-07-31,00:00:00.00,0,0.854063,0.479
213,1980-08-01,00:00:00.00,0,0.829883,0.442
214,1980-08-02,00:00:00.00,0,0.806555,0.405
215,1980-08-03,00:00:00.00,5.55246,0.784129,0.377
216,1980-08-04,00:00:00.00,0,0.762481,0.376
217,1980-08-05,00:00:00.00,0,0.741495,0.368
218,1980-08-06,00:00:00.00,2.02163,0.721288,0.36
219,1980-08-07,00:00:00.00,3.69639,0.703736,0.349
220,1980-08-08,00:00:00.00,0,0.686712,0.334
221,1980-08-09,00:00:00.00,0,0.66829,0.313
222,1980-08-10,00:00:00.00,0,0.650484,0.282
223,1980-08-11,00:00:00.00,0,0.633268,0.249
224,1980-08-12,00:00:00.00,4.4459,0.616813,0.248
225,1980-08-13,00:00:00.00,2.03243,0.600912,0.253
226,1980-08-14,00:00:00.00,0,0.585333,0.308
227,1980-08-15,00:00:00.00,0,0.570241,0.281
228,1980-08-16,00:00:00.00,0,0.555634,0.236
229,1980-08-17,00:00:00.00,11.3338,0.544388,0.216
230,1980-08-18,00:00:00.00,13.8964,0.721778,0.336
231,1980-08-19,00:00:00.00,0,0.889153,0.745
232,1980-08-20,00:00:00.00,0,0.862631,0.494
233,1980-08-21,00:00:00.00,0,0.838182,0.379
234,1980-08-22,00:00:00.00,0,0.814595,0.291
235,1980-08-23,00:00:00.00,0,0.791834,0.251
236,1980-08-24,00:00:00.00,0,0.769864,0.234
237,1980-08-25,00:00:00.00,0,0.748653,0.212
238,1980-08-26,00:00:00.00,0,0.728169,0.212
